work_id,title,alternate_titles,genre,historical_period,era,date_original,year_start,year_end,date_certainty,first_publication_date,first_publication_year,relation_scope,authenticity_status,authors,author_roles,canonical_text,text_script,transcription_status,completeness,inscription_number,location_context,lineation_note,source_citations,source_urls,facsimile_count,facsimile_paths,notes
work-jiaxiu-inscription-04-liu-zao,题甲秀楼和吴雨民制军韵,,七言绝句二首,清,乾隆,乾隆二十八年,1763,1763,certain,,,strict_jiaxiu,confirmed,刘藻,刘藻［author，confirmed］,"峥嵘杰构俯鳌头，山自弯环水自流。四面天风人境外，偏宜啸咏在斯楼。
霜花寥落不禁秋，雨后亭台事事幽。何日登楼穷远目，满城秋色已全收。",简体（底本繁体转写）,facsimile-checked,complete,四,甲秀楼石刻,两首七言绝句分行录入。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第470页；印刷页71［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png；facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2,底本作“弯环”“偏宜”，不从后世转录“湾环”“偏有”。
work-jiaxiu-inscription-06-zheng-dajin,登甲秀楼,,五言古诗,清,乾隆,丙申春三月（乾隆四十一年）,1776,1776,certain,,,strict_jiaxiu,confirmed,郑大进,郑大进［author，confirmed］,"丙申春三月，岁旱破怒雷。古者书云物，望气尝登台。
黔蛮夙反覆，犹余万劫灰。大化涵濡久，日月并昭回。
葱葱还郁郁，佳气东西来。鳌矶拔地起，跨江阊阖开。
群山相映发，万壑纷追陪。其下蛟龙宅，明月弄珠聒。
芳洲有杜若，相将毓陈荄。虹饮饥且渴，蜿蜒雨风催。
我纵千里眼，游心骋八垓。遐迩但一气，俯视如浮埃。
蜃楼与海市，顷刻生疑猜。清空遽若洗，身疑在蓬莱。
昔过洞庭湖，仙圣景逸才。岳阳亦新构，题名楚云隈。
波澜仍壮阔，南明水潆洄。",简体（底本繁体转写）,facsimile-checked-with-doubtful-glyphs,complete,六,甲秀楼石刻,,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第471—472页；印刷页72［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,4,facsimiles/qing_stones/gztz_v152_scan-014_print-072.png；facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2；facsimiles/qing_stones/gztz_v152_scan-015_print-073.png；facsimiles/qing_stones/gztz_v152_scan-015_print-073_master.jp2,“明月弄珠聒”“相将毓陈荄”从当前影印辨读，字义较僻，宜在获得更清晰原图后再校。
work-pei-zongxi-rebuild-jiaxiu-stele,重修甲秀楼碑记,,碑记,清,乾隆,乾隆四十一年,1776,1776,certain,,,strict_jiaxiu,confirmed,裴宗锡,裴宗锡［author，confirmed］,会城之南有桥蜿蜒跨南明河，一楼巍然踞鳌矶之上，颜曰甲秀。明都御史江公东之所创始，而我朝德水田山疆先生踵而修之者也。康熙壬寅，先大夫开藩于黔，予髫龄随侍，于焉嬉娱，山川林泉之胜，时时在心目间。昨年调抚是邦，重过其地，虽风景不殊，而波涛震撼，风雨剥蚀，楼已朽不可复登矣。盖距田先生修筑之年又八十余载。且昔年规制过陋，非若岳阳黄鹤楼之华瞻堪垂久远也。楼之前除立一铁柱，高丈许，则雍正七年，西林相国鄂公平定苗疆，将吏聚所收兵器，镕而铸之，以铭其功。此余童时所未见者。视昔人铜柱之标，洵足后先辉映。然字亦陋，词复简率，惜当时无以班椽之笔扬厉。余惟黔处荒服，山谷限深，草木阴翳，朝岚夕雾，否塞晦蒙，居是邦者，必有高明闿爽之所，豁达旷荡之观，而后能遐思远瞩，为人民察幽隐，为地方讲利弊，不仅如前人有关风水之说也。然即以风水论，公刘之诗曰：“相其阴阳，观其流泉。”定之方中曰：“望楚与堂，景山与京。”盖古之立国者，未尝不笃信而精求之，故曰有斯楼。而黔之人才辈出，风气日开，衣冠文物之盛，埒于侯甸。矧复师武奋扬，扫除顽梗，历有丰功伟绩，照耀其间，则斯楼之所系，不其重哉！爰与司道诸君商改建而焕新之，并于楼之中央北麓构二亭，翼以扶栏，树以坊表，仍铁柱之旧，加以彩饰，以昭壮丽。庶几登是楼者睪然高望，有湖山千里之思，而邦人士步屦相从，髣髴沂水春风之趣，于以养德性而蓄经纶，殆亦不无小助。宁独余追忆钓游，瞻怀棠阴，增白云之慨慕已耶？乾隆四十一年立。,简体（底本繁体转写，个别古体字保留）,facsimile-checked,complete,,《贵州通志》列于甲秀楼石刻四、五之间，未另编石刻号,碑记连续录入。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第470—471页；印刷页71—72；列于石刻四、五之间［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,4,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png；facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2；facsimiles/qing_stones/gztz_v152_scan-014_print-072.png；facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2,文内称铁柱铸于“雍正七年”，与壬子（雍正十年，1732）及石刻十一材料冲突；原文照录并保留年代冲突说明。
work-jiaxiu-inscription-05-pei-zongxi,题甲秀楼,,七言律诗,清,乾隆,乾隆四十一年,1776,1776,certain,,,strict_jiaxiu,confirmed,裴宗锡,裴宗锡［author，confirmed］,"山回水抱一楼空，畲火村烟四望中。铜鼓不惊椎髻梦，芦笙早革桶裙风。
题铭有柱追芳烈，布德何修答屡丰。五十年前重俯仰，班衣竹马逐儿童。",简体（底本繁体转写）,facsimile-checked,complete,五,甲秀楼石刻,,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第471页；印刷页72［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-014_print-072.png；facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2,末句底本作“班衣”，不从通行本“斑衣”；“畲火”从底本。
work-jiaxiu-inscription-07-huang-tengda-et-al,登城南甲秀楼联句并跋,,五言排律联句并跋,清,乾隆,乾隆己亥,1779,1779,certain,,,strict_jiaxiu,confirmed,黄腾达（号斗槎）；周书愚；野溪（姓名待考）；萧省斋；鲁伯墀；张平斋；孙松亭；毛果亭；德懋,黄腾达［co-author-and-postscript-author，confirmed］；周书愚［co-author，confirmed］；野溪（姓名待考）［co-author，probable］；萧省斋［co-author，probable］；鲁伯墀［co-author，probable］；张平斋［co-author，probable］；孙松亭［co-author，probable］；毛果亭［co-author，probable］；德懋［possible-co-author，tentative］,"黔南山水窟，咫尺惬登临。
入座皆仙侣，征歌况妙音。
危楼宜远瞩，胜地畅清吟。
八斗才名盛，千秋雅化深。
论文惭绛帐，爱客重华簪。
星使光岩壑，骚坛振古今。
求贤方汲汲，造士益骎骎。
撤棘重阳节，开筵祇树林。
飞觞频惜别，秉烛好题襟。
佳会人难继，高风世所钦。
新诗裁白雪，古谊薄黄金。
幽赏欢无极，雄谈兴不禁。
潺湲回涧曲，窈窕俯城阴。
鹿苑逢场戏，鳌峰跨背寻。
露香凝野菊，月色度遥岑。
法界钟声急，空庭暮气沉。
一帆随雁影，回首动离心。

乾隆己亥岁，举恩科盛典，余与周书愚典试黔中，时则野溪世叔观察兹土，主持风雅，作养人文，士气翕然。适以监司为提调，风清霜肃，俾得鉴拔真材。撤棘后饮饯于城南山寺，得畅游甲秀楼诸胜，环山带水，心目顿开，觞咏笙歌，极一时韵事。酒间复联五字长律一章，至月上犹酣饮于烟岚夕露中，几令人不忍言别。同席者则学使萧省斋、编修院长鲁伯墀、侍御、都匀太守张平斋、松桃司马孙松亭、贵筑明府毛果亭，皆与野溪先生有师门之谊，讵非遐方雅会耶？匆匆书此，以纪其盛。斗槎黄腾达跋。",简体（底本繁体转写）,provisional-facsimile-transcription,complete,七,甲秀楼石刻,诗与跋合录；底本逐联小字署名尚未可靠拆分到每一联。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第473页；印刷页73［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,4,facsimiles/qing_stones/gztz_v152_scan-015_print-073.png；facsimiles/qing_stones/gztz_v152_scan-015_print-073_master.jp2；facsimiles/qing_stones/gztz_v152_scan-016_print-074.png；facsimiles/qing_stones/gztz_v152_scan-016_print-074_master.jp2,参与者据跋文及诗旁署名建立；“祇树林”等僻语、人物衔名及疑似署名“德懋”仍需复核。
work-jiaxiu-inscription-08-wu-shouchang,题甲秀楼,,五言排律,清,乾隆,乾隆五十二年,1787,1787,certain,,,strict_jiaxiu,confirmed,吴寿昌,吴寿昌［author，confirmed］,"卓绝城南界，凌虚结构牢。双虹开洞壑，十笏镇波涛。
似塔层层现，非亭面面遭。洲唇引芳杜，矶背压灵鳌。
列嶂铜钲扣，环流玉带操。秀兼三岛胜，雄擅百蛮豪。
画栋云多荫，苔阶雨剩膏。冰心窥牖迥，天半上梯高。
警铎风檐语，铿鲸月杵号。鸽栖无怖性，鹰下有奇毛。
兹景判同赏，何人耐独遨。行随桥宛转，目击树萧骚。
祠宇寻黄石，花宫礼白毫。碑残辨灰劫，柱壮纪弓櫜。
过客纷□，群公枉节旄。深宵会弄笛，佳日或题糕。
地僻增山静，心清隔市嚣。倚栏红隐隐，听涧碧滔滔。
瞻眺难忘倦，登临不惮劳。霄寒暮阴合，雪意在林皋。",简体（底本繁体转写）,facsimile-checked-with-gap,fragment,八,甲秀楼石刻,,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第474页；印刷页74—75［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,4,facsimiles/qing_stones/gztz_v152_scan-016_print-074.png；facsimiles/qing_stones/gztz_v152_scan-016_print-074_master.jp2；facsimiles/qing_stones/gztz_v152_scan-017_print-075.png；facsimiles/qing_stones/gztz_v152_scan-017_print-075_master.jp2,“过客纷□”末字无法可靠释读；保留缺字标记，不作臆补。“弓櫜”从底本。
work-jiaxiu-inscription-09-ai-mao,次文宗吴蓉塘先生韵,,五言排律,清,乾隆,乾隆己酉中夏,1789,1789,certain,,,strict_jiaxiu,confirmed,艾茂,艾茂［author，confirmed］,"回眺层霄逼，遐搜万象牢。倚天浮蜃气，拔地镇鲸涛。
牛斗惊身近，蓬瀛恍目遭。险将探月窟，冥欲钓沧鳌。
古筑标名胜，全黔出俊豪。双虹垂影丽，一柱耸形高。
泗磬清飘籁，岣碑润溢膏。绮余霞远散，舟纵棹闲操。
帘敞雕梁语，潮奔偃盖号。露浓滋桂叶，云淡现鹏毛。
烟雨留谁赏，乔松得伴遨。登临多物色，文雅涉风骚。
拓石研煤汁，题笺染兔毫。（旁注：集杜二句）
琴疏窗漏响，的破矢冲櫜。漫以青藜杖，聊为翠羽旄。
朋从随载酒，僧话或传糕。虚会神仙寂，幽离市井嚣。
韩、苏观浩浩，潘、陆并滔滔。顿悟源头活，何欲意绪劳。
即今吟咏处，佳趣满林皋。

乾隆己酉中夏书于贵山书院，七十老叟麻峡艾茂稿。",简体（底本繁体转写）,facsimile-checked-with-doubtful-glyphs,complete,九,甲秀楼石刻,诗后附尾款；“集杜二句”旁注保留在正文。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第475页；印刷页75［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-017_print-075.png；facsimiles/qing_stones/gztz_v152_scan-017_print-075_master.jp2,“烟雨”亦可能作“烟刚”，“何欲”亦可能作“何役”；当前从影印辨形录入。
work-jiaxiu-inscription-10-feng-guangxiong,和鄂太傅甲秀楼原韵,,七言绝句四首,清,乾隆,乾隆五十七年,1792,1792,source-conflict,,,strict_jiaxiu,confirmed,冯光熊,冯光熊［author，confirmed］,"溪桥岸柳旧□，曾记从戎挂晓骖。老我驰驱销白发，重寻铁柱到天南。
梨花落尽雨如丝，上相功成得句时。□德岂惟崇配食，山椒古木拜新祠。
沙头白鹭羽毛□，杜若香风引客骖。我仰芳踪非佞佛，莫教钟鼓礼和南。
禅榻茶烟飏鬓丝，青山合沓到门时。凭谁移取飞云胜，来傍千秋两相祠。",简体（底本繁体转写）,facsimile-checked-with-gaps,fragment,十,甲秀楼石刻,,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第475页；印刷页75［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-017_print-075.png；facsimiles/qing_stones/gztz_v152_scan-017_print-075_master.jp2,至少三处无法可靠释字，保留□。底本分目标乾隆五十七年（1792）；另有资料作乾隆五十六年（1791），本记录以统一底本纪年为主并保留冲突说明。
work-jiaxiu-inscription-11a-chen-huai,和鄂文端公诗,和鄂文端公甲秀楼诗,七言绝句二首并跋,清,乾隆,乾隆五十七年岁次壬子,1792,1792,certain,,,strict_jiaxiu,confirmed,陈淮,陈淮［author，confirmed］,"溪云漠漠柳毵毵，闲向楼前一系骖。尚有老僧知往事，摩挲铁柱说征南。
八万军民等乱丝，铮铮铜鼓记当时。瓣香心事向谁说，一树杜鹃丞相祠。

右鄂文端公诗载省志，登临吟眺，尚想前徽，率和二章，并泐诸石。陈淮跋。",简体（底本繁体转写）,facsimile-checked,complete,十一A,甲秀楼石刻十一复合刻,和诗二首与短跋合录；题名据内容拟定。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第475页；印刷页75；“甲秀楼石刻十一”首段［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-017_print-075.png；facsimiles/qing_stones/gztz_v152_scan-017_print-075_master.jp2,《贵州通志》将本作、铁柱铭、纪功诗并序合列为“甲秀楼石刻十一”，数据库为检索拆分。
work-jiaxiu-inscription-11b-chen-huai,少保鄂公铁柱铭,,碑铭,清,乾隆,乾隆五十七年岁次壬子夏五月朔日,1792,1792,certain,,,strict_jiaxiu,confirmed,陈淮,陈淮［author，confirmed］,"黔中诸苗，即古西南夷也。种落繁盛，山川阻深，若古州之丹江、八寨、九股生苗，獷悍其性，荒忽无常。自汉世以来，未有能慑以声灵而附之版籍者。我朝雍正间，少保鄂公述职巡边，导扬圣武，运以神策，震伐鬼方。于是识广泗于牧守，拔元孙于行阵，智谋之士、技击之伦，粤西组练之军、巴蜀□悍之旅，筹笔一动，鼙鼓四分。公以德威惟畏、攻心为上，古州为□苗窟穴，八寨为古州咽喉，制其要命，宜从是始。生苗有众，无或失信；诸将士拱听方略，动如影响。戈矛林植，旌旗电舒，降于九天之上，藏于九地之下。八阵初勒，四校横徂，迥破交归，据窟城巢。甲些焚口，告游魂放命；五合六聚，莫不捧首乞命、刻木输诚。八寨既平，进兵丹江；师扬既胜之威，士鼓先登之气。纷帽毛而四起，□螳臂之犹张。我选锋诱其入伏：初败之乌叠寨，再败之蒙猛寨，三败之寇矛冈，复大败之鸡讲山。弃甲山齐，流膏等润，如风之扫箨，若火之燎原。清江以西，上下九股诸苗望风震慑，敢跳踉跟虫封诸葛之营，衣带都江之水；破竹迎刃，投鞭断流，遂来牝定。旦八、飞革、招等二百余寨，俘馘以千计，收械以万数；革薙禽狝，丧胆亡魂，远无不畏，迩无不肃。治其芜秽，劖蛮之穴，靡遗；适其水草，犬羊之性易扰。由是清戎索、定赋税、建城郭、通邮传，兵未灭平数旬，计已周于万世。依门剞木，岁奉输将；椎髻帷襦，日拜门阙。威与九秋并肃，惠与八风俱翔。虽民动如烟，事或时有，而我静若镜，风无不行。盖抚以士德，绥用中兴；欢虞熙皞，治不易民，苗獠獞猺，人非异类也。古州诸苗既平，都人士销旋师所获兵械，铸铁柱一，植之城南。于时岁在元默困敦，公述职入京。□谋之士、技击之伦□。及公薨逝，赠太保，谥文端，俎豆报功，于兹六十余年。黔之人士，无不捧首乞命，□其遗烈。今抚黔陈淮追惟前徽，式铭磐石。其辞曰：
铄王师，四荒静。销锋刃，曜光景。苗顽格，罔不靖。万斯年，奠参井。
乾隆五十七年岁次壬子夏五月朔日勒石。",简体（底本繁体转写，部分族名保留原字）,provisional-diplomatic-facsimile-transcription,fragment,十一B,甲秀楼石刻十一复合刻；纪功铁柱相关,长篇铭文与结铭合录；□为不能可靠释定的底本文字。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第475—476页；印刷页75—76；“甲秀楼石刻十一”中段［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,4,facsimiles/qing_stones/gztz_v152_scan-017_print-075.png；facsimiles/qing_stones/gztz_v152_scan-017_print-075_master.jp2；facsimiles/qing_stones/gztz_v152_scan-018_print-076.png；facsimiles/qing_stones/gztz_v152_scan-018_print-076_master.jp2,正文跨印刷页75—76，字密且多军政、苗疆词。本条为外交式试录，不能标作无疑全文；“元默困敦”为壬子岁名，与1732年相合。
work-jiaxiu-inscription-11c-chen-huai,纪功铁柱诗并序,,五言排律并序,清,乾隆,乾隆壬子五月五日,1792,1792,certain,,,strict_jiaxiu,confirmed,陈淮,陈淮［author，confirmed］,"雍正七年，岁在壬子，丹江、古州、八寨、九股诸苗悉平。黔中人士销平苗所获兵械，铸铁柱一，纪少保鄂公之功，屹立城南甲秀楼下，迩来六十一年矣。顷予奉命来抚是邦，暇日登临，追维盛烈，不胜岘首之思，谨赋是章，以志向往。时乾隆壬子五月五日。

王化周无外，神功格有苗。相臣持虎节，命将度龙标。
聚米筹兹土，挥鞭扑此獠。沿江依灌莽，环寨恃岧峣。
蠢尔应潜伏，嚣然敢蹻跳。乍闻传号箭，遽已断绳桥。
挺鹿偏能走，奔蜂莫漫撩。趋风听坎鼓，陷阵截离徭。
争险晨严队，连营夜击刁。贼当天灶绝，我用地雷烧。
官渡靡轮折，昆阳震瓦飘。一时齐案角，百战缚妖腰。
次第清疆索，从容出教条。输诚纳撞布，歌德奏排箫。
民气淳当复，皇威凛匪遥。羽干咸颂舜，耕凿共安尧。
瘴水雕戈洗，蛮烟玉烛调。鸣笳纷载道，列帜拥回镳。
囊底纡余策，樽前授下僚。铸铜思马援，刻石拟班超。
冶跃金流液，炉红火彻宵。质词当纪载，骈字备风谣。
表烈同钟鼎，铭勋倚斗杓。日高光赫煜，云覆影招摇。
游瞩经兰若，逡巡对丽谯。承平惭叱驭，荒度缅乘撬。
数仞临芳甸，千秋峙绛霄。摩挲剔苔藓，吟讽协咸韶。",简体（底本繁体转写）,facsimile-checked-with-doubtful-glyphs,complete,十一C,甲秀楼石刻十一复合刻；纪功铁柱相关,序与五言排律合录。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第475—476页；印刷页75—76；“甲秀楼石刻十一”末段［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-018_print-076.png；facsimiles/qing_stones/gztz_v152_scan-018_print-076_master.jp2,序首底本作“雍正七年，岁在壬子”，自身矛盾：雍正七年为己酉（1729），壬子为雍正十年（1732）；“迩来六十一年”亦较接近1732至1792。“撞布”“离徭”“雕戈”“荒度”等从当前辨读，待二校。
work-fuqing-jiazi-wuhouci-jiaxiu,甲子新正谒武侯祠,,七言律诗,清,嘉庆,甲子新正（嘉庆九年，1804）,1804,1804,inferred,,,strict_jiaxiu,confirmed,福庆（字兰泉）,福庆［author，confirmed］,"翠柏森森傍碧流，潔誠新嵗謁賢侯。
如膏春雨田園潤，似古民風氣象侔。
幾處絃歌聲入耳，通衢𠪨舍景迎眸。
太平更遇豐年樂，士女羣登甲秀樓。",繁体原文（据数字文字层）,primary-digital-transcription-unverified-facsimile,complete,,贵阳武侯祠及甲秀楼一带；末句明确写甲秀楼,,《兰泉诗稿》卷二十一、卷二十二《黔阳集》，卷二十一《黔阳集上》、卷二十二《黔阳集下》，卷二十一，识典页506题名、页507正文［base-text，底本］；《兰泉诗稿》（中国哲学书电子化计划书目与OCR），书目res=183255；馆藏资源res=96069、file=148270［parallel-digital-witness］,https://www.shidianguji.com/book/HY5275/chapter/1ly0hinxo98o6；https://ctext.org/wiki.pl?if=gb&remap=gb&res=183255,0,,题后另记“甲子正月廿二日，入觐起程”。“甲秀”下原注“楼名”。甲子据福庆贵州巡抚任期换算为1804年。𠪨为数字文字层所呈罕见字，待原稿影像复核。
work-fuqing-yichou-xinchun-jiaxiu,乙丑新春试笔咏甲秀楼,,七言律诗,清,嘉庆,乙丑新春（嘉庆十年，1805）,1805,1805,inferred,,,strict_jiaxiu,confirmed,福庆（字兰泉）,福庆［author，confirmed］,"攬勝人登甲秀樓，一灣春水漾芳洲。
雙橋影動漁舟蕩，百雉煙籠市井稠。
面面𤨔山光四照，層層列樹壯千秋。
豐亨獻歳民苖樂，蕭寺焚香士女遊。",繁体原文（据数字文字层）,primary-digital-transcription-unverified-facsimile,complete,,贵阳甲秀楼、双桥、城郭与寺院,,《兰泉诗稿》卷二十一、卷二十二《黔阳集》，卷二十一《黔阳集上》、卷二十二《黔阳集下》，卷二十二《黔阳集下》，识典页525［base-text，底本］；《兰泉诗稿》（中国哲学书电子化计划书目与OCR），书目res=183255；馆藏资源res=96069、file=148270［parallel-digital-witness］,https://www.shidianguji.com/book/HY5275/chapter/1ly0hinxo98o6；https://ctext.org/wiki.pl?if=gb&remap=gb&res=183255,0,,乙丑据福庆贵州巡抚任期及诗集编年换算为1805年。第三句首数字文字层作“面面𤨔山光四照”，𤨔字暂不臆改，待原稿影像复核。
work-fuqing-deng-jiaxiu-zaifu,登甲秀楼再赋,,七言律诗,清,嘉庆,乙丑新春上元前后（嘉庆十年，1805）,1805,1805,inferred,,,strict_jiaxiu,confirmed,福庆（字兰泉）,福庆［author，confirmed］,"樓上憑窓景色分，氤氲逺岫起春雲。
鰲磯獨峙縈𭰁水，鐵柱雙標前後勲。
老我白鬚思往訓，引人紅杏趁斜曛。
岸低垂栁眉初展，静聽能言鳥喚羣。",繁体原文（据数字文字层）,primary-digital-transcription-unverified-facsimile,complete,,贵阳甲秀楼、鳌矶及鄂尔泰与勒保纪功铁柱,,《兰泉诗稿》卷二十一、卷二十二《黔阳集》，卷二十一《黔阳集上》、卷二十二《黔阳集下》，卷二十二《黔阳集下》，识典页526题名、页527正文［base-text，底本］；《兰泉诗稿》（中国哲学书电子化计划书目与OCR），书目res=183255；馆藏资源res=96069、file=148270［parallel-digital-witness］,https://www.shidianguji.com/book/HY5275/chapter/1ly0hinxo98o6；https://ctext.org/wiki.pl?if=gb&remap=gb&res=183255,0,,篇次位于乙丑新春《上元灯词》之后，故定1805年上元前后。第四句下原注“楼前有鄂公勒侯平苗纪功二柱”。𭰁为数字文字层所呈罕见字，待原稿影像复核。
work-fuqing-ci-yuting-jiaxiu-yun,次玉亭制府登甲秀楼韵,,五言律诗,清,嘉庆,丙寅重阳后（嘉庆十一年，1806）,1806,1806,inferred,,,strict_jiaxiu,confirmed,福庆（字兰泉）,福庆［author，confirmed］,"登樓同眺望，禾稼已全收。
日色明初霽，松濤響亦幽。
扶風籠翠靄，涵碧漾清流。
甲秀興文運，題名閲幾秋。",繁体原文（据数字文字层）,primary-digital-transcription-unverified-facsimile,complete,,贵阳甲秀楼，兼及扶风山、涵碧潭,,《兰泉诗稿》卷二十一、卷二十二《黔阳集》，卷二十一《黔阳集上》、卷二十二《黔阳集下》，卷二十二《黔阳集下》，识典页548［base-text，底本］；《兰泉诗稿》（中国哲学书电子化计划书目与OCR），书目res=183255；馆藏资源res=96069、file=148270［parallel-digital-witness］,https://www.shidianguji.com/book/HY5275/chapter/1ly0hinxo98o6；https://ctext.org/wiki.pl?if=gb&remap=gb&res=183255,0,,“玉亭制府”即云贵总督伯麟。该诗紧接丙寅重阳唱和，后文始见丁卯初春，故定嘉庆十一年（1806）。“扶风”原注“山名”，“涵碧”原注“潭名”。
