status,work_id,title,authors,source_id,source_title,image_path,scan_page,print_page,image_role,file_format,pixel_width,pixel_height,file_bytes,sha256,capture_method,quality_note,locator,reason,checked_date,notes
available,work-jiang-dongzhi-aoji-fu,鳌矶赋有序,江东之（字长信）,src-ruiyang-v5,《瑞阳阿集》卷五,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p081.jpg,81,,access-render-highest,JPG,1920,2880,773092,7ed9c2ed22e99dbe09ebd5ba64ab9feb345dd9f4dab87328d6e14d8cd9609cc1,highest-public-page-image-direct-download,按公开服务可取得的最高成功原像素页图保存；未在本地放大或增强，具体底本与页码见备注。,扫描页81,,,《瑞陽阿集（三）》扫描第81页；经人工核页，为《鰲磯賦有敘》题名及正文起始页。；《瑞陽阿集（三）》扫描第81页；经人工核页，为《鰲磯賦有敘》题名及正文起始页。
available,work-jiang-dongzhi-aoji-fu,鳌矶赋有序,江东之（字长信）,src-ruiyang-v5,《瑞阳阿集》卷五,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p082.jpg,82,,access-render-highest,JPG,1920,2880,865156,96b6132e218137d429fa6a86513b7992d0cbc51e817bdfaf9441c16f084e2ad6,highest-public-page-image-direct-download,按公开服务可取得的最高成功原像素页图保存；未在本地放大或增强，具体底本与页码见备注。,扫描页82,,,《瑞陽阿集（三）》扫描第82页；经人工核页，为《鰲磯賦有敘》正文续页。；《瑞陽阿集（三）》扫描第82页；经人工核页，为《鰲磯賦有敘》正文续页。
available,work-jiang-dongzhi-aoji-fu,鳌矶赋有序,江东之（字长信）,src-ruiyang-v5,《瑞阳阿集》卷五,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p083.jpg,83,,access-render-highest,JPG,1920,2880,828234,8c923bae9caf2f6cbc8909d3adea94f1da585e69a6c6c276b6b593f74d1bba6f,highest-public-page-image-direct-download,按公开服务可取得的最高成功原像素页图保存；未在本地放大或增强，具体底本与页码见备注。,扫描页83,,,《瑞陽阿集（三）》扫描第83页；经人工核页，为《鰲磯賦有敘》正文续页。；《瑞陽阿集（三）》扫描第83页；经人工核页，为《鰲磯賦有敘》正文续页。
available,work-jiang-dongzhi-aoji-fu,鳌矶赋有序,江东之（字长信）,src-ruiyang-v5,《瑞阳阿集》卷五,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p084.jpg,84,,access-render-highest,JPG,1920,2880,914261,e6da8c6aa3bef13dcf11d49c2990405c4c52745f36042d8db9d5671a87d60c6b,highest-public-page-image-direct-download,按公开服务可取得的最高成功原像素页图保存；未在本地放大或增强，具体底本与页码见备注。,扫描页84,,,《瑞陽阿集（三）》扫描第84页；经人工核页，为《鰲磯賦有敘》正文续页。；《瑞陽阿集（三）》扫描第84页；经人工核页，为《鰲磯賦有敘》正文续页。
available,work-jiang-dongzhi-aoji-fu,鳌矶赋有序,江东之（字长信）,src-ruiyang-v5,《瑞阳阿集》卷五,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p085.jpg,85,,access-render-highest,JPG,1920,2880,284170,a74c043dd5fc5b4b9f9d37f628668d3aea2ca34ff572ea14f05df5783b40f202,highest-public-page-image-direct-download,按公开服务可取得的最高成功原像素页图保存；未在本地放大或增强，具体底本与页码见备注。,扫描页85,,,《瑞陽阿集（三）》扫描第85页；经人工核页，为《鰲磯賦有敘》末页，末句见“惟先哲之是程”。；《瑞陽阿集（三）》扫描第85页；经人工核页，为《鰲磯賦有敘》末页，末句见“惟先哲之是程”。
available,work-jiaxiu-inscription-01-eertai,甲秀楼,鄂尔泰,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-008_print-066.png,8,66,access-copy-lossless,PNG,4055,3109,8945398,0b1f053eba4eb207c98a2148b74f0709048d0930d0e578114511ddd7f4e21725,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页8；印刷页66,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-01-eertai,甲秀楼,鄂尔泰,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-008_print-066_master.jp2,8,66,archival-original,JP2,4055,3109,252263,633bf06a7f8b0a8468c28998fcd16059f882be38988cfe21b84c098ef2cc826b,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页8；印刷页66,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-02-zou-yigui,戊午登甲秀楼送阮主试即依赠韵,邹一桂,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-009_print-067.png,9,67,access-copy-lossless,PNG,4055,3109,8639293,3d58c80f07659b0994b58a35546a7103a2bef4bdb93803bcec29c1be663eed5d,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页9；印刷页67,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-02-zou-yigui,戊午登甲秀楼送阮主试即依赠韵,邹一桂,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-009_print-067_master.jp2,9,67,archival-original,JP2,4055,3109,252265,6b5d372b910c3de26ca667d271c5fefe2f9a3f2a1e8d297145f1981a07ceadd7,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页9；印刷页67,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-03-wu-dashan,壬午仲春登甲秀楼,吴达善,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png,13,71,access-copy-lossless,PNG,4055,3109,7963963,87f20c89bcbb03fbbba5795375ff7a6c952ff2db75b88c74452a9e7c86eb35ca,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-03-wu-dashan,壬午仲春登甲秀楼,吴达善,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2,13,71,archival-original,JP2,4055,3109,252272,10f93814d9e7e9b32da4ba6de3c0b0ac3e933c31f03418d2b904c34826f921ab,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-04-liu-zao,题甲秀楼和吴雨民制军韵,刘藻,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png,13,71,access-copy-lossless,PNG,4055,3109,7963963,87f20c89bcbb03fbbba5795375ff7a6c952ff2db75b88c74452a9e7c86eb35ca,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-04-liu-zao,题甲秀楼和吴雨民制军韵,刘藻,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2,13,71,archival-original,JP2,4055,3109,252272,10f93814d9e7e9b32da4ba6de3c0b0ac3e933c31f03418d2b904c34826f921ab,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-06-zheng-dajin,登甲秀楼,郑大进,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072.png,14,72,access-copy-lossless,PNG,4055,3109,9199716,4965db3ab850b052ca46c884ef2fb18199407ee41eebbb2a29f5250c836c5c63,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/2；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-06-zheng-dajin,登甲秀楼,郑大进,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2,14,72,archival-original,JP2,4055,3109,252257,1c9790b65d5ea061d65d60a04856fb44d67977d6ecc631ffdfb63e346aa66785,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-06-zheng-dajin,登甲秀楼,郑大进,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-015_print-073.png,15,73,access-copy-lossless,PNG,4055,3109,8610980,0e56d63e941e588f7a3d3d611ea8d027363cd2f412044db7bbb8b2b8660ce03f,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页15；印刷页73,,,该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。；该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-06-zheng-dajin,登甲秀楼,郑大进,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-015_print-073_master.jp2,15,73,archival-original,JP2,4055,3109,252257,f770f40cecd799e041d240eddda6644117178a585bbeee3bf59cc30d56fc3c7b,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页15；印刷页73,,,该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-pei-zongxi-rebuild-jiaxiu-stele,重修甲秀楼碑记,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png,13,71,access-copy-lossless,PNG,4055,3109,7963963,87f20c89bcbb03fbbba5795375ff7a6c952ff2db75b88c74452a9e7c86eb35ca,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/2；与同页archival-original记录像素一一对应。
available,work-pei-zongxi-rebuild-jiaxiu-stele,重修甲秀楼碑记,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2,13,71,archival-original,JP2,4055,3109,252272,10f93814d9e7e9b32da4ba6de3c0b0ac3e933c31f03418d2b904c34826f921ab,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页13；印刷页71,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-pei-zongxi-rebuild-jiaxiu-stele,重修甲秀楼碑记,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072.png,14,72,access-copy-lossless,PNG,4055,3109,9199716,4965db3ab850b052ca46c884ef2fb18199407ee41eebbb2a29f5250c836c5c63,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。
available,work-pei-zongxi-rebuild-jiaxiu-stele,重修甲秀楼碑记,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2,14,72,archival-original,JP2,4055,3109,252257,1c9790b65d5ea061d65d60a04856fb44d67977d6ecc631ffdfb63e346aa66785,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-05-pei-zongxi,题甲秀楼,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072.png,14,72,access-copy-lossless,PNG,4055,3109,9199716,4965db3ab850b052ca46c884ef2fb18199407ee41eebbb2a29f5250c836c5c63,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/1；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-05-pei-zongxi,题甲秀楼,裴宗锡,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-014_print-072_master.jp2,14,72,archival-original,JP2,4055,3109,252257,1c9790b65d5ea061d65d60a04856fb44d67977d6ecc631ffdfb63e346aa66785,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页14；印刷页72,,,该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/1；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-07-huang-tengda-et-al,登城南甲秀楼联句并跋,黄腾达（号斗槎）；周书愚；野溪（姓名待考）；萧省斋；鲁伯墀；张平斋；孙松亭；毛果亭；德懋,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-015_print-073.png,15,73,access-copy-lossless,PNG,4055,3109,8610980,0e56d63e941e588f7a3d3d611ea8d027363cd2f412044db7bbb8b2b8660ce03f,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页15；印刷页73,,,该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/2；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-07-huang-tengda-et-al,登城南甲秀楼联句并跋,黄腾达（号斗槎）；周书愚；野溪（姓名待考）；萧省斋；鲁伯墀；张平斋；孙松亭；毛果亭；德懋,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-015_print-073_master.jp2,15,73,archival-original,JP2,4055,3109,252257,f770f40cecd799e041d240eddda6644117178a585bbeee3bf59cc30d56fc3c7b,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页15；印刷页73,,,该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-07-huang-tengda-et-al,登城南甲秀楼联句并跋,黄腾达（号斗槎）；周书愚；野溪（姓名待考）；萧省斋；鲁伯墀；张平斋；孙松亭；毛果亭；德懋,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-016_print-074.png,16,74,access-copy-lossless,PNG,4055,3109,7839858,14e6bfcc4d3a7fa8c4fa96aff810df25ae32723ffccb60dd2e1aaf4063600613,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页16；印刷页74,,,该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。；该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-07-huang-tengda-et-al,登城南甲秀楼联句并跋,黄腾达（号斗槎）；周书愚；野溪（姓名待考）；萧省斋；鲁伯墀；张平斋；孙松亭；毛果亭；德懋,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-016_print-074_master.jp2,16,74,archival-original,JP2,4055,3109,252278,8bf36c01b3000bd5c1dda66113d01ef9491f62b6a3b60c2936736fc7013e8c44,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页16；印刷页74,,,该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。
available,work-jiaxiu-inscription-08-wu-shouchang,题甲秀楼,吴寿昌,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-016_print-074.png,16,74,access-copy-lossless,PNG,4055,3109,7839858,14e6bfcc4d3a7fa8c4fa96aff810df25ae32723ffccb60dd2e1aaf4063600613,lossless-PNG-decode-from-embedded-JPX,由同页原始JP2解码为PNG；4055×3109像素保持不变，无裁切、无缩放，便于浏览器及数字人文前端使用。,扫描页16；印刷页74,,,该作品相关整页影像 2/2；与同页archival-original记录像素一一对应。；该作品相关整页影像 1/2；与同页archival-original记录像素一一对应。
available,work-jiaxiu-inscription-08-wu-shouchang,题甲秀楼,吴寿昌,source-guizhou-tongzhi-jinshi-v152-1948,《贵州通志》卷一百五十二《金石志四》,facsimiles/qing_stones/gztz_v152_scan-016_print-074_master.jp2,16,74,archival-original,JP2,4055,3109,252278,8bf36c01b3000bd5c1dda66113d01ef9491f62b6a3b60c2936736fc7013e8c44,pypdf-direct-JPX-stream-extraction,PDF内嵌JPXDecode码流逐字节抽取；未解码、未重编码、未缩放，保持源文件的原始档案质量。,扫描页16；印刷页74,,,该作品相关整页影像 2/2；1948年《贵州通志》卷一百五十二《金石志四》。；该作品相关整页影像 1/2；1948年《贵州通志》卷一百五十二《金石志四》。
